ano,mes,ano_mes,corretora,desempenho_mes,desempenho_ano
2018,05,201805,Guide Investimentos,-8.4,12.77
2018,05,201805,Magliano Corretora,-13.97,-5.29
2018,05,201805,Mirae Corretora,-12.57,-9.13
2018,05,201805,Necton,-10.59,3.63
2018,05,201805,Planner Corretora,-10.76,10.87
2018,05,201805,Santander Corretora,-7.62,15.45
2018,05,201805,Terra Investimentos,-13.42,-12.39
2018,05,201805,XP Investimentos,-14.58,-0.01
2018,04,201804,Ágora Investimentos,1.97,24.91
2018,04,201804,Ativa Investimentos,-1.72,12.19
2018,04,201804,BB Investimentos,1.38,13.34
2018,04,201804,Coinvalores Corretora,3.29,15.71
2018,04,201804,Genial Investimentos,6.61,19.74
2018,04,201804,Guide Investimentos,5.66,23.11
2018,04,201804,Magliano Corretora,2.11,10.09
2018,04,201804,Mirae Corretora,3.94,3.94
2018,04,201804,Necton,1.11,15.91
2018,04,201804,Planner Corretora,-0.41,24.24
2018,04,201804,Santander Corretora,5.47,24.97
2018,04,201804,Terra Investimentos,1.19,1.19
2018,04,201804,XP Investimentos,3.9,17.06
2018,03,201803,Ágora Investimentos,5.65,22.49
2018,03,201803,Ativa Investimentos,0.23,14.15
2018,03,201803,BB Investimentos,-1.9,11.8
2018,03,201803,Coinvalores Corretora,-3.56,12.02
2018,03,201803,Genial Investimentos,3.46,12.31
2018,03,201803,Guide Investimentos,4.33,16.51
2018,03,201803,Magliano Corretora,2.65,7.81
2018,03,201803,Necton,-1.09,14.63
2018,03,201803,Planner Corretora,12.47,24.75
2018,03,201803,Santander Corretora,1.31,18.49
2018,03,201803,XP Investimentos,1.31,12.66
2018,02,201802,Ágora Investimentos,1.44,15.94
2018,02,201802,Ativa Investimentos,2.5,13.89
2018,02,201802,BB Investimentos,4.58,13.97
2018,02,201802,Coinvalores Corretora,3.19,16.16
2018,02,201802,Genial Investimentos,0.46,8.56
2018,02,201802,Guide Investimentos,0.23,11.68
2018,02,201802,Magliano Corretora,2.35,5.03
2018,02,201802,Necton,1.46,15.9
2018,02,201802,Planner Corretora,-0.29,10.92
2018,02,201802,Santander Corretora,3.83,16.96
2018,02,201802,XP Investimentos,3.67,11.21
2018,01,201801,Ágora Investimentos,14.29,14.29
2018,01,201801,Ativa Investimentos,11.11,11.11
2018,01,201801,BB Investimentos,8.98,8.98
2018,01,201801,Coinvalores Corretora,12.56,12.56
2018,01,201801,Genial Investimentos,8.06,8.06
2018,01,201801,Guide Investimentos,11.42,11.42
2018,01,201801,Magliano Corretora,2.61,2.61
2018,01,201801,Necton,14.23,14.23
2018,01,201801,Planner Corretora,11.24,11.24
2018,01,201801,Santander Corretora,12.65,12.65
2018,01,201801,XP Investimentos,7.27,7.27
2017,12,201712,Ágora Investimentos,7.02,34.85
2017,12,201712,Ativa Investimentos,6.01,30.73
2017,12,201712,BB Investimentos,4.8,24.2
2017,12,201712,Genial Investimentos,2.72,44.55
2017,12,201712,Guide Investimentos,4.04,23.47
2017,12,201712,Planner Corretora,6.91,31.06
2017,12,201712,Rico Corretora,5.88,33.23
2017,12,201712,Santander Corretora,4.83,38.66
2017,12,201712,XP Investimentos,3.02,21.62
2017,11,201711,Ágora Investimentos,-4.6,26.0
2017,11,201711,Ativa Investimentos,-0.98,23.32
2017,11,201711,BB Investimentos,-0.33,18.52
2017,11,201711,Genial Investimentos,-3.06,40.72
2017,11,201711,Guide Investimentos,-2.13,18.68
2017,11,201711,Planner Corretora,-4.37,22.59
2017,11,201711,Rico Corretora,-5.77,25.82
2017,11,201711,Santander Corretora,-4.83,32.27
2017,11,201711,XP Investimentos,-5.24,18.05
2017,10,201710,Ágora Investimentos,1.15,32.08
2017,10,201710,Ativa Investimentos,-2.22,24.54
2017,10,201710,BB Investimentos,-3.1,18.91
2017,10,201710,Citi Corretora,2.64,21.76
2017,10,201710,Genial Investimentos,1.59,45.17
2017,10,201710,Guide Investimentos,2.87,21.26
2017,10,201710,Planner Corretora,1.71,28.19
2017,10,201710,Rico Corretora,3.25,33.52
2017,10,201710,Santander Corretora,-0.98,38.98
2017,10,201710,XP Investimentos,1.73,24.58
2017,09,201709,Ágora Investimentos,9.89,30.57
2017,09,201709,Ativa Investimentos,2.3,27.36
2017,09,201709,BB Investimentos,9.2,22.71
2017,09,201709,Citi Corretora,7.78,18.63
2017,09,201709,Genial Investimentos,2.98,42.89
2017,09,201709,Guide Investimentos,4.98,17.88
2017,09,201709,Planner Corretora,5.04,26.04
2017,09,201709,Rico Corretora,5.58,29.32
2017,09,201709,Santander Corretora,7.47,40.35
2017,09,201709,XP Investimentos,4.89,22.46
2017,08,201708,Ágora Investimentos,11.58,18.82
2017,08,201708,Ativa Investimentos,7.83,24.5
2017,08,201708,BB Investimentos,11.01,12.38
2017,08,201708,Citi Corretora,8.5,10.06
2017,08,201708,Genial Investimentos,11.77,38.76
2017,08,201708,Guide Investimentos,10.58,12.28
2017,08,201708,Planner Corretora,3.31,20.0
2017,08,201708,Rico Corretora,7.44,22.48
2017,08,201708,Santander Corretora,10.77,30.59
2017,08,201708,XP Investimentos,18.87,16.75
2017,07,201707,Ágora Investimentos,13.3,6.48
2017,07,201707,Ativa Investimentos,8.16,15.46
2017,07,201707,BB Investimentos,2.69,1.23
