ano,mes,ano_mes,corretora,descricao
2013,01,201301,Planner Corretora,"Entram: Gerdau PN, Cia. Hering ON"
2013,01,201301,Planner Corretora,"Saem: Arteris ON, Totvs ON"
2013,01,201301,Rico Corretora,"Entram: Gerdau PN, Suzano Papel PNA, BR Malls Part. ON, Itaú Unibanco PN, Vale PNA"
2013,01,201301,Rico Corretora,"Saem: Petrobras PN, JHSF Part. ON, Banco do Brasil ON, Duratex ON, Grendene ON"
2013,01,201301,Santander Corretora,"Entram: Gerdau PN, BRF ON"
2013,01,201301,Santander Corretora,"Saem: Qualicorp ON, Kroton ON, Sabesp ON"
2013,01,201301,Souza Barros CCT,"Entram: Raia Drogasil ON, Totvs ON"
2013,01,201301,Souza Barros CCT,"Saem: Ambev PN, Natura ON, Tractebel ON"
2013,01,201301,XP Investimentos,"Entram: Banrisul PNB, Taesa UNIT, Pão de Açúcar PN"
2013,01,201301,XP Investimentos,"Saem: Itaú Unibanco PN, Cetip ON, Brasil Insurance ON"
2013,02,201302,Ágora Investimentos,"Entram: Direcional ON, Anhanguera ON"
2013,02,201302,Ágora Investimentos,"Saem: Hypermarcas ON, ALL ON"
2013,02,201302,Ativa Investimentos,Entram: Cosan ON
2013,02,201302,Ativa Investimentos,Saem: Equatorial ON
2013,02,201302,Citi Corretora,"Entram: Bradesco PN, BR Malls Part. ON"
2013,02,201302,Citi Corretora,"Saem: Ultrapar ON, Totvs ON"
2013,02,201302,Genial Investimentos,"Entram: Kroton ON, Ultrapar ON"
2013,02,201302,Genial Investimentos,"Saem: , Randon Part. PN"
2013,02,201302,Guide Investimentos,Entram: Natura ON
2013,02,201302,Guide Investimentos,"Saem: Vale PNA, Gerdau PN"
2013,02,201302,Planner Corretora,"Entram: Odontoprev ON, Localiza ON, Alpargatas PN, Multiplan ON, Taesa UNIT"
2013,02,201302,Planner Corretora,"Saem: Eztec ON, Petrobras PN, Gerdau PN, Cia. Hering ON, Fleury ON"
2013,02,201302,Rico Corretora,Entram: Helbor ON
2013,02,201302,Rico Corretora,Saem: Gerdau PN
2013,02,201302,Santander Corretora,"Entram: Pão de Açúcar PN, Kroton ON, Klabin PN, Even ON"
2013,02,201302,Santander Corretora,"Saem: IMC Holdings ON, , Gerdau PN, BRF ON"
2013,02,201302,Souza Barros CCT,Entram: Localiza ON
